NOME_VIA;NOME_NORM
VIA GIOVANNI MARINI;Via Giovanni Marini
VIA GRUPPO CONEGLIANO;Via Gruppo Conegliano
VIA ANDREA GRITTI;Via Andrea Gritti
VIA GRECIA;Via Grecia
STRADA GRANZETTA;Strada Granzetta
VIA GRANATIERI DI SARDEGNA;Via Granatieri di Sardegna
VIA CARLO GOLDONI;Via Carlo Goldoni
VIA GIOVANNI GIRARDINI;Via Giovanni Girardini
VIA GIOVANNA D' ARCO;Via Giovanna d'Arco
VIA GIAVERA DEL MONTELLO;Via Giavera del Montello
VIA LUIGI GIACOMELLI;Via Luigi Giacomelli
VIA GERMANIA;Via Germania
VICOLO FRANCESCO GERA;Vicolo Francesco Gera
VIA GELSOMINI;Via Gelsomini
VIA LUIGI GASPARINETTI;Via Luigi Gasparinetti
VIA MARCANTONIO GANDINO;Via Marcantonio Gandino
LOCALITA' FURO DI SANT' ANTONINO;Localita' Furo di Sant'Antonino
VIA FUIN;Via Fuin
PIAZZALE DUCA D' AOSTA;Piazzale Duca d'Aosta
VIA GIOVANNI BATTISTA RICCIOLI;Via Giovanni Battista Riccioli
VICOLO RIALTO;Vicolo Rialto
VIA ENRICO REINHART;Via Enrico Reinhart
VIA ENRICO REGINATO;Via Enrico Reginato
VIA REDIPUGLIA;Via Redipuglia
VIA VITO RAPISARDI;Via Vito Rapisardi
VIA RAGAZZI DEL '99;Via Ragazzi del '99
VIA ALBERTO RADAELLI;Via Alberto Radaelli
VIALE QUINDICI LUGLIO;Viale Quindici Luglio
VIALE QUATTRO NOVEMBRE;Viale Quattro Novembre
VIA MARCO PULIERI;Via Marco Pulieri
VIA PUGLIE;Via Puglie
VIA PRIORATO SANT' ANTONIO;Via Priorato Sant'Antonio
VIA FRANCESCO MARIA PRETI;Via Francesco Maria Preti
VIA GIOVANNI POZZOBON;Via Giovanni Pozzobon
VIA POSTUMIA;Via Postumia
VIA PONZANO;Via Ponzano
VIA AMILCARE PONCHIELLI;Via Amilcare Ponchielli
VIA POLVERIERA;Via Polveriera
VIA MARCO POLO;Via Marco Polo
VIA CAROLINA POLACCO;Via Carolina Polacco
VIA SELO;Via Selo
VIA PODGORA;Via Podgora
VIA PLINIO IL VECCHIO;Via Plinio il Vecchio
VIA PISA;Via Pisa
VIA PORTOBUFFOLE';Via Portobuffolè
VIALE IPPOLITO PINDEMONTE;Viale Ippolito Pindemonte
VIALE PINDARO;Viale Pindaro
VIA GIOVAN BATTISTA PIAZZETTA;Via Giovan Battista Piazzetta
VIA NASCIMBEN;Via Nascimben
VIA PAOLO NANI;Via Paolo Nani
VIA MURE;Via Mure
VIA NAZARIO SAURO;Via Nazario Sauro
VIA MURA SAN TEONISTO;Via Mura San Teonisto
VIA MUNICIPIO;Via Municipio
VIA FRANCESCO MOROSINI;Via Francesco Morosini
VIA DANIELE MONTERUMICI;Via Daniele Monterumici
VIA MONTE SANTO;Via Monte Santo
VIA MONTE PIANA;Via Monte Piana
VIA MONTE NERO;Via Monte Nero
VIA MONTE LUNGO;Via Monte Lungo
VIA MONTE CENGIO;Via Monte Cengio
VIA MONFALCONE;Via Monfalcone
VIA GUSTAVO MODENA;Via Gustavo Modena
VIA DON LORENZO MILANI;Via don Lorenzo Milani
VIA MERCATO ORTOFRUTTICOLO;Via Mercato Ortofrutticolo
VIA ALVISE SEMENZI;Via Alvise Semenzi
