DEBUG;NOME_VIA;NOME_NORM;DIST
2;Sent. Loc. La Madonnetta - Sant'Artemio;Sentiero La Madonnetta - Sant'Artemio;
0;Piazzetta Don Ferdinando Pasin;Piazzetta don Ferdinando Pasin;1.0
0;Via Tommaso Salsa;Via Tommaso Salsa;1.0
0;Largo di Porta Altinia;Largo di Porta Altinia;1.0
0;Via Sant'Andrea;Via Sant'Andrea;1.0
1;Sent. Case Piavone - Sant'Artemio;Sentiero Case Piavone - Sant'Artemio;0.516397779494
0;Vicolo San Pancrazio;Vicolo San Pancrazio;1.0
0;Via dei Comin;Via dei Comin;1.0
0;Via Fabio Filzi;Via Fabio Filzi;1.0
1;Borgo Fiume;Borgo Fiume;1.0
2b;Via Bartolomeo d'Alviano;Viale Bartolomeo d'Alviano;0.866666666667
2b;Strada di Nogarè;Via Nogarè;0.555555555556
1;Via Roggia;Via Roggia;1.0
2a;Via Avogadro Rambaldo degli Azzoni;Via Rambaldo degli Azzoni Avogadro;1.0
1;Vicolo Broli;Vicolo Broli;1.0
0;Via Don Lorenzo Milani;Via don Lorenzo Milani;1.0
1;Vicolo Fossaggera;Vicolo Fossaggera;1.0
0;Via Generale Giuseppe Vaccari;Via generale Giuseppe Vaccari;1.0
2b;Piazzetta San Parisio;Corte San Parisio;0.62962962963
0;Via delle Marie;Via delle Marie;1.0
0;Via Moriago della Battaglia;Via Moriago della Battaglia;1.0
0;Strada San Bartolomeo;Strada San Bartolomeo;1.0
1;Via Piavesella;Via Piavesella;1.0
2a;Via Sant'Ambrogio di Fiera;Via Sant'Ambrogio di Fiera;1.0
2;Strada Cornare;Via Cornare;
2a;Via Giuseppe e Luigi Olivi;Via Giuseppe e Luigi Olivi;0.894427191
0;Vicolo San Pelaio E;Vicolo San Pelaio E;1.0
0;Vicolo San Pelaio D;Vicolo San Pelaio D;1.0
0;Vicolo San Pelaio C;Vicolo San Pelaio C;1.0
0;Vicolo dei Dall'Oro;Vicolo dei dall'Oro;1.0
0;Vicolo San Pelaio A;Vicolo San Pelaio A;1.0
1;Rivale Filodrammatici;Rivale Filodrammatici;1.0
0;Via dell'Asilo;Via dell'Asilo;1.0
0;Via Ciardi Guglielmo;Via Guglielmo Ciardi;1.0
0;Via Ambrogio Spiera;Via Ambrogio Spiera;1.0
1;Via Lancenigo;Via Lancenigo;1.0
1;Via Vicenza;Via Vicenza;1.0
0;Via Enrico Reinhart;Via Enrico Reinhart;1.0
0;Via Lorenzo Perosi;Via Lorenzo Perosi;1.0
