DEBUG;NOME_VIA;NOME_NORM;DIST
1;accesso emergenza parco S. Marco;DELETE;0.516397779494
1;Via Serbelloni;Via Gabriele Serbelloni;0.816496580928
0;Via del Progresso;Via del Progresso;1.0
1;Via Melette;Via Melette;1.0
0;Contrà Mure della Rocchetta;Contra' Mure della Rocchetta;1.0
0;Via Morsolin Bernardo;Via Bernardo Morsolin;1.0
0;Via Natale del Grande;Via Natale del Grande;1.0
1;ciclabile Dalla Chiesa Generale N. Carlo Alberto;Ciclabile di Via generale Carlo Alberto dalla Chiesa;0.77151674981
2;Via Torino;Viale Torino;
0;Strada Biron di Sotto;Strada Biron di Sotto;1.0
0;Contrà Santa Maria Nova;Contra' Santa Maria Nova;1.0
0;Contrà Vittorio Veneto;Contra' Vittorio Veneto;1.0
0;Via Papa Achille;Via Achille Papa;1.0
0;Via Falcone e Borsellino;Via Falcone e Borsellino;1.0
0;Via Bonomi Ivanoe;Via Ivanoe Bonomi;1.0
0;Via Mastini Antonio;Via Antonio Mastini;1.0
0;Via Sebastiano Tecchio;Via Sebastiano Tecchio;1.0
0;Via della Valdorsa;Via della Valdorsa;1.0
0;Via Lago di Fondi;Via Lago di Fondi;1.0
0;Via Franco Camillo;Via Camillo Franco;1.0
1;Via Adda;Via Adda;1.0
0;Piazza dei Nobel;Piazza dei Nobel;1.0
2a;Via E. Caviglia;Via Enrico Caviglia;0.816496580928
0;Contrà del Quartiere;Contra' del Quartiere;1.0
1;Contrada Cantarane;Contra' Cantarane;1.0
0;Strada della Pelosa;Strada della Pelosa;1.0
0;Via Giacomo Puccini;Via Giacomo Puccini;1.0
2a;Via Emiliani Giovanni S.;Via Giovanni Stefano Emiliani;0.866025403784
1;Via Miani G.;Via Giovanni Miani;0.666666666667
0;Contrà Giuseppe Garibaldi;Contra' Giuseppe Garibaldi;1.0
0;Via Anguissola Spirito;Via Spirito Anguissola;1.0
0;Via Mariani Camillo;Via Camillo Mariani;1.0
0;Via Cantore Antonio;Via Antonio Cantore;1.0
0;Via Battaglione Val Leogra;Via Battaglione Val Leogra;1.0
1;Via F. Vigna;Via Francesco Vigna;0.666666666667
2;Via Caimpenta;Contra' della Caimpenta;
1;Via Valbella;Via Valbella;1.0
0;Via Isole Egadi;Via Isole Egadi;1.0
1;Contrà Cesare Battisti;Via Cesare Battisti;0.666666666667
0;Via Giuseppe Sirtori;Via Giuseppe Sirtori;1.0
0;Strada San Giovanni;Strada San Giovanni;1.0
0;Via Zago Ortensio;Via Ortensio Zago;1.0
1;Via B. Ricasoli;Via Bettino Ricasoli;0.666666666667
1;Via Riello;Via Riello;1.0
2b;Viale Ragazzi del '99;Via Ragazzi del '99;0.866666666667
0;Strada dei Rocoli;Strada dei Rocoli;1.0
2;Via Nicolosi;Stradone dei Nicolosi;
0;Via Sasso Marco;Via Marco Sasso;1.0
2b;Ponte S.Michele;Ponte San Michele;0.67619047619
2;Pista ciclo-pedonale di via V. Bellini.;Pista ciclo-pedonale di Via Vincenzo Bellini;
1;Via G. Bedin;Via Giacomo Bedin;0.666666666667
2b;Via Maraini Andrea;Via Andrea Marani;0.938095238095
0;Via Danilo Longhi;Via Danilo Longhi;1.0
0;Via Giacomo Leopardi;Via Giacomo Leopardi;1.0
0;Contra' Santi Apostoli;Contra' Santi Apostoli;1.0
0;Via Zaltron Francesco;Via Francesco Zaltron;1.0
1;Borgo Scroffa;Borgo Scroffa;1.0
1;Via O. Salomone;Via Oreste Salomone;0.666666666667
0;Via della Ceramica;Via della Ceramica;1.0
0;Contra' delle Grazie;Contra' delle Grazie;1.0
0;Corte dei Bissari;Corte dei Bissari;1.0
1;Strada Pelosa;Strada della Pelosa;0.816496580928
0;Via Antonio Fracanzan;Via Antonio Fracanzan;1.0
0;Via Fratelli Coronaro;Via Fratelli Coronaro;1.0
0;Via Enrico Toti;Via Enrico Toti;1.0
1;Via Gioacchino Rossini;Via Gioachino Rossini;0.666666666667
1;Via Asiago;Via Asiago;1.0
0;Vicolo Benvenuto De Campesani;Vicolo Benvenuto de Campesani;1.0
1;Via G. Chilesotti;Via Giacomo Chilesotti;0.666666666667
1;Viale Trieste;Viale Trieste;1.0
0;Via Gonzati Vincenzo;Via Vincenzo Gonzati;1.0
0;Via Raffaele Cadorna;Via Raffaele Cadorna;1.0
1;Via G. Giacosa;Via Giuseppe Giacosa;0.666666666667
0;Via Battaglione Edolo;Via Battaglione Edolo;1.0
2b;Piazza San Pio X;Piazza San Pio decimo;0.666666666667
2b;Strada Monte Crocetta;Strada del Monte Crocetta;0.666666666667
1;Via A. Samoggia;Via Alfonso Samoggia;0.666666666667
0;Via De Nicola Enrico;Via Enrico De Nicola;1.0
0;Via F.lli Stuparich;Via Fratelli Stuparich;1.0
1;Via Produttività;Via della Produttività;0.816496580928
2a;"Viale 10 Giugno; Viale Venezia";Viale Dieci Giugno;0.801783725737
0;Contrà Santa Corona;Contra' Santa Corona;1.0
1;Via N. Paganini;Via Niccolò Paganini;0.666666666667
1;Via Casarsa;Via Casarsa;1.0
1;Via Pforzheim;Via Pforzheim;1.0
1;Via A. Gregori;Via Alfredo Gregori;0.666666666667
0;Via dell'Artigianato;Via dell'Artigianato;1.0
0;Via Vittorio Bottego;Via Vittorio Bottego;1.0
0;Borgo Santa Lucia;Borgo Santa Lucia;1.0
1;Contrà Camillo Benso di Cavour;Contra' Camillo Benso Cavour;0.894427191
